scene,psf_config,assumed_fwhm_m,snr,noise_std,lam,noise_model,rmse_vs_no_psf,rmse_std,noise_penalty,noise_penalty_std,regularization_noise_gain,regularization_noise_gain_std,regularization_noise_gain_pct,regularization_noise_gain_pct_std,n_realizations,n_cells
forest,matched,12.5,10.0,0.011270532394166125,0.0,correlated,0.02696591117990574,8.779690941181506e-06,0.002829641063243477,8.779690941181553e-06,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,10.0,0.011270532394166125,0.0,white,0.041750753253037495,0.00010734429545005568,0.017614483136375238,0.00010734429545005393,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,10.0,0.011270532394166125,0.001,correlated,0.02698724073756224,8.482489730190584e-06,0.0028263510860589507,8.482489730190406e-06,3.2899771845260745e-06,4.616199109141919e-07,0.012200174919958584,0.0017093603442323102,10,169683
forest,matched,12.5,10.0,0.011270532394166125,0.001,white,0.04120799525646115,0.00010483844280704873,0.017047105604957858,0.00010483844280704693,0.0005673775314173762,4.9100099929676405e-06,1.358957313500447,0.010362307678462945,10,169683
forest,matched,12.5,10.0,0.011270532394166125,0.01,correlated,0.02722435903120638,7.387382266205949e-06,0.0027913060354045824,7.3873822662047885e-06,3.833502783889449e-05,2.455965164615639e-06,0.14215931725657088,0.009077729408901076,10,169683
forest,matched,12.5,10.0,0.011270532394166125,0.01,white,0.03785042398700676,8.770562199998128e-05,0.013417370991204967,8.770562199998039e-05,0.004197112145170269,3.093117147525884e-05,10.052718058994703,0.058325882214697256,10,169683
forest,matched,12.5,10.0,0.011270532394166125,0.1,correlated,0.029517270412331636,7.047153337326726e-06,0.0024883075250472916,7.047153337326143e-06,0.0003413335381961851,4.937391465481951e-06,1.2657933350281867,0.018067998864624797,10,169683
forest,matched,12.5,10.0,0.011270532394166125,0.1,white,0.03196758923251683,4.5852901940473765e-05,0.004938626345232485,4.585290194047392e-05,0.012675856791142751,7.967666744845017e-05,30.36055942144705,0.12269997687069847,10,169683
forest,matched,12.5,10.0,0.011270532394166125,1.0,correlated,0.035452861130442236,1.3560238192077526e-05,0.0018306932616273205,1.3560238192077655e-05,0.0009989478016161565,1.2751006508301212e-05,3.704480666279706,0.047007454934350726,10,169683
forest,matched,12.5,10.0,0.011270532394166125,1.0,white,0.03465542422821795,3.110057122006123e-05,0.001033256359403032,3.1100571220060175e-05,0.016581226776972203,9.733602169179101e-05,39.71451596906647,0.13833809366038288,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.0,correlated,0.02487556119063043,4.6737164049273855e-06,0.0007392910739681676,4.673716404928096e-06,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.0,white,0.029530305008024504,3.649381143573314e-05,0.005394034891362244,3.6493811435733e-05,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.001,correlated,0.024899237632238343,4.566392774774667e-06,0.0007383479807350501,4.566392774774899e-06,9.430932331175313e-07,1.875406460386983e-07,0.0037911695102562904,0.0007533742345448157,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.001,white,0.02935754001405174,3.4208048393392065e-05,0.0051966503625484484,3.420804839339217e-05,0.00019738452881379564,2.6381794084727497e-06,0.668405668691887,0.008215981701224062,10,169683
