scene,method,n_cells,rmse,mae,bias,corr,psnr,scene_class,region_id
region__urban__mexico_city,psf_aware,29943,0.0360905217496227,0.025133764663117057,8.130381972735302e-06,0.8760705072195245,35.1398313720237,urban,mexico_city
region__urban__mexico_city,classical_nearest,29943,0.047149736765088955,0.032897847210422014,-3.5130765824167364e-05,0.7921729127354059,32.81810913470689,urban,mexico_city
region__urban__mexico_city,classical_linear,29943,0.04864168322557594,0.03399974606267219,-1.7239230639245473e-05,0.781734402715336,32.547522681211895,urban,mexico_city
region__urban__mexico_city,classical_cubic,29943,0.04550625213059008,0.03173428919620184,-3.983214273872139e-06,0.8108867621537128,33.126273208784156,urban,mexico_city
region__urban__mexico_city,richardson_lucy,29943,0.040312268204798996,0.027599633613678027,-0.000116736938151694,0.8481609348492473,34.178949887430015,urban,mexico_city
region__urban__montreal,psf_aware,29906,0.024224232861329804,0.017087107708743422,-8.170113968633333e-06,0.9141985162267585,27.47031648742945,urban,montreal
region__urban__montreal,classical_nearest,29906,0.035573164252729536,0.025530463604441864,-1.716815176679822e-05,0.8193005886862369,24.132867186666665,urban,montreal
region__urban__montreal,classical_linear,29906,0.03694980889039794,0.026668495775805136,-3.784046409216775e-05,0.8086153775930748,23.803073209365202,urban,montreal
region__urban__montreal,classical_cubic,29906,0.03384080477153554,0.024288036487370632,-3.0544767552863544e-05,0.8425528771392893,24.566503489657862,urban,montreal
region__urban__montreal,richardson_lucy,29906,0.028549175355082917,0.019723362339421544,-0.00023978905500084886,0.8855547155836407,26.04344577672284,urban,montreal
region__urban__nairobi,psf_aware,29906,0.01791463035223437,0.013106639732693345,1.3143406490930655e-05,0.9133138610715784,31.168023418356967,urban,nairobi
region__urban__nairobi,classical_nearest,29906,0.02485600851938748,0.018214651653052943,2.3852861816788376e-06,0.8344170976767268,28.32355266489489,urban,nairobi
region__urban__nairobi,classical_linear,29906,0.025641581198604123,0.018843616287528,3.587693080758479e-05,0.8259071165076989,28.053284394527118,urban,nairobi
region__urban__nairobi,classical_cubic,29906,0.02368079953281156,0.01738375324031801,3.201928370770687e-05,0.8535416736683511,28.7442532200009,urban,nairobi
region__urban__nairobi,richardson_lucy,29906,0.021362252775212708,0.014722794368069616,-0.00018878236063841689,0.8782036820925505,29.639239453333033,urban,nairobi
region__urban__paris,psf_aware,29910,0.024501087401191425,0.017936679453804494,2.2964747642848512e-05,0.8816071328225593,29.19219202160938,urban,paris
region__urban__paris,classical_nearest,29910,0.0327296903578151,0.023951317848918248,1.109312071279065e-05,0.7883205565623832,26.677061279549747,urban,paris
region__urban__paris,classical_linear,29910,0.033861961258682426,0.02480672961726021,1.5489936467485558e-05,0.7736801782852205,26.38165704239958,urban,paris
region__urban__paris,classical_cubic,29910,0.03172297988281754,0.023221772455732394,2.2803031184297368e-05,0.8050260435416066,26.948419696367832,urban,paris
region__urban__paris,richardson_lucy,29910,0.027389489434792073,0.019951039011923664,-1.6529872046365702e-05,0.8549085750097456,28.224220478819188,urban,paris
region__urban__reykjavik,psf_aware,29914,0.035543084173851144,0.020809735086167087,6.656528584238107e-06,0.8937925194097125,28.71131991590495,urban,reykjavik
region__urban__reykjavik,classical_nearest,29914,0.04618829020140844,0.026802236438327055,-3.550679123397845e-05,0.8179243967333909,26.435784400649194,urban,reykjavik
region__urban__reykjavik,classical_linear,29914,0.04761743603375199,0.02766998426657256,-2.8785888717746435e-05,0.8057981963230207,26.171101975926412,urban,reykjavik
region__urban__reykjavik,classical_cubic,29914,0.044798033150423314,0.025924458353257848,-1.623005289714883e-05,0.8309248212607104,26.70124318126708,urban,reykjavik
region__urban__reykjavik,richardson_lucy,29914,0.04089457791109252,0.02295007425489686,-0.0003205159933349829,0.8601884697203688,27.493107516639675,urban,reykjavik
region__urban__sao_paulo,psf_aware,29894,0.030924677028154282,0.02275113010543856,-4.214964128776238e-06,0.8838860592296438,30.4609441509594,urban,sao_paulo
region__urban__sao_paulo,classical_nearest,29894,0.04192271780939724,0.03134251391631138,-8.311856246859357e-06,0.7873912675019621,27.81805900794247,urban,sao_paulo
region__urban__sao_paulo,classical_linear,29894,0.043200053619750316,0.03245669585667401,-1.6054508313886817e-05,0.7768158461604088,27.55736188636465,urban,sao_paulo
region__urban__sao_paulo,classical_cubic,29894,0.040245357036275235,0.030099201580076843,-1.1453491603936809e-05,0.8098039374463027,28.17273191188868,urban,sao_paulo
region__urban__sao_paulo,richardson_lucy,29894,0.03476190955022308,0.02539354073763254,-0.0001389791811701747,0.8570477609185867,29.444975099385935,urban,sao_paulo
region__urban__singapore,psf_aware,29955,0.012546398914043138,0.00697893135074263,1.1260446364365045e-06,0.9808784163018504,37.29971403745394,urban,singapore
region__urban__singapore,classical_nearest,29955,0.019704566741625313,0.010917619084390609,1.6391422693448043e-05,0.9537040350692529,33.378758071348315,urban,singapore
region__urban__singapore,classical_linear,29955,0.020257908452384076,0.011216802473168025,-2.9715281362287628e-05,0.9515409958977248,33.13820379103795,urban,singapore
region__urban__singapore,classical_cubic,29955,0.018134030556357733,0.010016854231618438,-1.7962133923231153e-05,0.9611799533191786,34.10020901076273,urban,singapore
region__urban__singapore,richardson_lucy,29955,0.022317615012130174,0.008834271099368034,-0.0008033764245931542,0.9411190074262097,32.297140243520225,urban,singapore
region__urban__sydney,psf_aware,29901,0.02776128023405125,0.016480442598036587,-1.1540515386968505e-05,0.9311250792449033,33.44837355187424,urban,sydney
region__urban__sydney,classical_nearest,29901,0.039878553293638805,0.02344873354974181,9.49190829422116e-06,0.8596565075361183,30.302375460141274,urban,sydney
region__urban__sydney,classical_linear,29901,0.041160391713822075,0.02447421739617802,1.2280034162624906e-05,0.8529857105859227,30.027573369861102,urban,sydney
region__urban__sydney,classical_cubic,29901,0.03770123263138158,0.0222525333056152,5.944030030979662e-06,0.8781641440167635,30.79005236212316,urban,sydney
region__urban__sydney,richardson_lucy,29901,0.03629899233812214,0.018949560870254522,-0.0006765168041981746,0.8856057517286194,31.119271970312944,urban,sydney
region__urban__tokyo,psf_aware,29907,0.024792904746310365,0.017290994956214435,-2.4836380913784887e-05,0.8467228682857848,33.14660303813233,urban,tokyo
region__urban__tokyo,classical_nearest,29907,0.03166374088872723,0.021781061537561996,-5.312500725418292e-05,0.7502003847379393,31.021906816282186,urban,tokyo
region__urban__tokyo,classical_linear,29907,0.03252681194051557,0.02240583731952743,-4.094973185251036e-05,0.73861929570492,30.78832130046362,urban,tokyo
region__urban__tokyo,classical_cubic,29907,0.030665285384178086,0.02118427125710072,-3.876313084637626e-05,0.7714027759083485,31.3002110598702,urban,tokyo
region__urban__tokyo,richardson_lucy,29907,0.029556691969137062,0.019082522326751523,-0.00040621079774198825,0.7856164335867017,31.62003476469998,urban,tokyo
region__water__caspian_sea,psf_aware,29859,0.0037039481276161983,0.0010225057526821548,1.4425600919785314e-06,0.9945815552892876,39.78829839658183,water,caspian_sea
region__water__caspian_sea,classical_nearest,29859,0.005385616712712177,0.0013388728871491173,-7.879989422372933e-07,0.9886229426483751,36.53688747493679,water,caspian_sea
region__water__caspian_sea,classical_linear,29859,0.005365464338579936,0.001363717864560315,-1.1447448319739868e-06,0.9888014136126967,36.56945006130915,water,caspian_sea
region__water__caspian_sea,classical_cubic,29859,0.0048882344250638235,0.00126441266612773,-1.5824832070348508e-06,0.9906687880110101,37.378555811155366,water,caspian_sea
region__water__caspian_sea,richardson_lucy,29859,0.004341328135808118,0.0011444173064664878,-5.977753991910951e-05,0.9927371443239218,38.409144057458995,water,caspian_sea
region__water__great_salt_lake,psf_aware,29901,0.0010998707074630376,0.0008237320696911697,5.11542496356369e-07,0.9702612182635035,35.73744181574376,water,great_salt_lake
region__water__great_salt_lake,classical_nearest,29901,0.0014698327819176822,0.0009765762220652644,1.0526620609330268e-06,0.9479599686643351,33.218915945157846,water,great_salt_lake
region__water__great_salt_lake,classical_linear,29901,0.0014982389132208677,0.0009906782402784456,8.106279531046202e-07,0.9468322126214653,33.05265307786913,water,great_salt_lake
region__water__great_salt_lake,classical_cubic,29901,0.0013744953204811409,0.0009462450771466381,6.298804210582341e-07,0.9549447639031677,33.80140921877302,water,great_salt_lake
region__water__great_salt_lake,richardson_lucy,29901,0.0012528821914961476,0.0008780213913799213,-7.583846593715647e-06,0.96207844345985,34.606069806852375,water,great_salt_lake
region__water__lake_constance,psf_aware,29915,0.0007276424776395543,0.000521505575831939,-2.746925893663543e-07,0.7729388371880928,35.37597141983562,water,lake_constance
region__water__lake_constance,classical_nearest,29915,0.0007987687678879634,0.0005666046316645007,5.129381663102321e-07,0.718259544766945,34.56591078972251,water,lake_constance
region__water__lake_constance,classical_linear,29915,0.0008064102991145304,0.0005736279315821866,-2.9150670549651563e-07,0.7119167106998784,34.48321098423111,water,lake_constance
region__water__lake_constance,classical_cubic,29915,0.0007892266594237197,0.0005637193030173237,-3.0519993368367494e-07,0.7267162231541756,34.670297360571205,water,lake_constance
region__water__lake_constance,richardson_lucy,29915,0.0007624447839385569,0.0005405646120124132,-9.826692538816913e-07,0.7479925584906107,34.970164346109755,water,lake_constance
region__water__lake_geneva,psf_aware,29887,0.0015693442518034141,0.0005768518504379806,3.977744895334776e-06,0.9581441801011205,43.1984609817707,water,lake_geneva
region__water__lake_geneva,classical_nearest,29887,0.0021612617750999923,0.0007020342221312387,1.356675894789174e-05,0.919564465040774,40.41867795306139,water,lake_geneva
region__water__lake_geneva,classical_linear,29887,0.0022115613870244384,0.0007172639854772735,1.1840301830729516e-05,0.9159677964914095,40.21884542724478,water,lake_geneva
region__water__lake_geneva,classical_cubic,29887,0.002044275703358102,0.0006807496838275856,9.374790384482495e-06,0.9287946058883688,40.90203606200255,water,lake_geneva
region__water__lake_geneva,richardson_lucy,29887,0.001824124465873813,0.0006149275020674441,2.3539903122692026e-06,0.9437857278217018,41.89173603552109,water,lake_geneva
region__water__lake_michigan,psf_aware,29909,0.0006590487271482625,0.0005178742157499304,-8.348500860335655e-08,0.5902305657198175,20.330557503621897,water,lake_michigan
region__water__lake_michigan,classical_nearest,29909,0.0007090712027246216,0.0005591914005636852,-1.6274845643672308e-07,0.5016850644610511,19.69511105803391,water,lake_michigan
region__water__lake_michigan,classical_linear,29909,0.0007174270312510762,0.0005659898821035451,-1.1603759577486443e-07,0.48288063719526825,19.593353295167805,water,lake_michigan
region__water__lake_michigan,classical_cubic,29909,0.0007066110305411471,0.0005570923599062568,-1.2030930516254204e-07,0.5075479990631517,19.725299761522702,water,lake_michigan
region__water__lake_michigan,richardson_lucy,29909,0.0006798661364106161,0.0005349454283085296,-6.882912724121088e-07,0.5587605641872999,20.060439818481296,water,lake_michigan
region__water__lake_tahoe,psf_aware,29870,0.0005890820128248839,0.0004490267345229688,-1.1268462193802444e-07,0.6017071082332935,29.144094628374056,water,lake_tahoe
region__water__lake_tahoe,classical_nearest,29870,0.0006505355841777639,0.0004984158782022161,-7.737321628848166e-08,0.49765463763512113,28.282188722526254,water,lake_tahoe
region__water__lake_tahoe,classical_linear,29870,0.0006604697198911116,0.0005064032280460314,4.941196304661477e-08,0.4771618858770621,28.150551638024794,water,lake_tahoe
region__water__lake_tahoe,classical_cubic,29870,0.0006466636365205512,0.0004949616928496636,2.0979997487741846e-08,0.5088098170003948,28.334041066216294,water,lake_tahoe
region__water__lake_tahoe,richardson_lucy,29870,0.0006185190178391084,0.0004706951450640077,-2.0011590377798357e-07,0.5556626401010225,28.72054871829603,water,lake_tahoe
region__water__lake_taupo,psf_aware,29908,5.542971199469369e-05,2.7597790893284426e-06,-4.9847323969310776e-09,0.965837127994872,47.200439175622094,water,lake_taupo
region__water__lake_taupo,classical_nearest,29908,9.5139764546994e-05,3.946641782106129e-06,-4.117320279573978e-07,0.9142369450414751,42.508050171115066,water,lake_taupo
region__water__lake_taupo,classical_linear,29908,9.610942480762134e-05,4.086054954311833e-06,-1.8776363375065476e-07,0.9161818090606304,42.419972054715345,water,lake_taupo
region__water__lake_taupo,classical_cubic,29908,8.32724640327967e-05,3.445822780781925e-06,-1.4281490067149615e-07,0.9363553957664972,43.66526330437361,water,lake_taupo
region__water__lake_taupo,richardson_lucy,29908,9.004097628922023e-05,3.593786828296359e-06,-8.757029177477238e-07,0.9294901017868192,42.98648771111604,water,lake_taupo
region__water__lake_titicaca,psf_aware,29907,0.0011099135774998298,0.0008676529150119809,1.587349479953185e-07,0.867107917562838,25.100957302475187,water,lake_titicaca
region__water__lake_titicaca,classical_nearest,29907,0.0013312007864288591,0.0010266012567180691,-6.360595737061302e-07,0.8060759446545521,23.521869274677446,water,lake_titicaca
region__water__lake_titicaca,classical_linear,29907,0.0013579062346353293,0.0010473935704966473,4.3544970319129946e-07,0.7987590340915571,23.34934493843192,water,lake_titicaca
region__water__lake_titicaca,classical_cubic,29907,0.0012980456445417015,0.0010057377729947748,3.800373490484136e-07,0.8174793265726693,23.740941299231633,water,lake_titicaca
region__water__lake_titicaca,richardson_lucy,29907,0.001193995951794954,0.0009298206461147824,7.6223812622968606e-06,0.8468495632490632,24.46668349825854,water,lake_titicaca
