patch_id,scene_class,region_id,patch_lat,patch_lon,true_fwhm_m,method,rmse_vs_latent,runtime_s,deconvolution_parameter,n_cells_compared
urban__singapore__r1c1,urban,singapore,1.2902999999999998,103.8519,12.5,richardson_lucy,0.05192330086510284,1.0819081482477486,100.0,167930
urban__sydney__r1c1,urban,sydney,-33.86879999999999,151.2093,12.5,psf_aware_matched,0.0604965764367657,2.989507482387125,0.001,170144
urban__sydney__r1c1,urban,sydney,-33.86879999999999,151.2093,12.5,tikhonov_bicubic,0.07025864295642795,0.8602739623747766,0.01,167401
urban__sydney__r1c1,urban,sydney,-33.86879999999999,151.2093,12.5,richardson_lucy,0.06899177995257545,1.0821873359382153,100.0,167401
urban__tokyo__r1c1,urban,tokyo,35.676200000000016,139.6503,12.5,psf_aware_matched,0.0737365238727165,2.5561168882995844,0.001,170132
urban__tokyo__r1c1,urban,tokyo,35.676200000000016,139.6503,12.5,tikhonov_bicubic,0.08414863648643081,0.8587413188070059,0.01,167388
urban__tokyo__r1c1,urban,tokyo,35.676200000000016,139.6503,12.5,richardson_lucy,0.0830083976838517,1.0817134687677026,100.0,167388
water__caspian_sea__r1c1,water,caspian_sea,41.99999999999999,48.355,12.5,psf_aware_matched,0.0149516004610941,1.8556908671744168,0.001,169755
water__caspian_sea__r1c1,water,caspian_sea,41.99999999999999,48.355,12.5,tikhonov_bicubic,0.01659971991962562,0.8563728220760822,0.01,166990
water__caspian_sea__r1c1,water,caspian_sea,41.99999999999999,48.355,12.5,richardson_lucy,0.016341560347428372,1.076521275099367,100.0,166990
water__great_salt_lake__r1c1,water,great_salt_lake,41.29999999999999,-112.61,12.5,psf_aware_matched,0.0043775593800144,2.9940001755021517,0.001,169909
water__great_salt_lake__r1c1,water,great_salt_lake,41.29999999999999,-112.61,12.5,tikhonov_bicubic,0.0056969088892536305,0.855909014120698,0.01,167146
water__great_salt_lake__r1c1,water,great_salt_lake,41.29999999999999,-112.61,12.5,richardson_lucy,0.005177326757226739,1.0911337519064546,100.0,167146
water__lake_baikal__r1c1,water,lake_baikal,53.499999999999986,108.0,12.5,psf_aware_matched,0.0002035093393661,1.8258360638283195,0.001,169342
water__lake_baikal__r1c1,water,lake_baikal,53.499999999999986,108.0,12.5,tikhonov_bicubic,0.001045450828390633,0.8571810936555266,0.01,166582
water__lake_baikal__r1c1,water,lake_baikal,53.499999999999986,108.0,12.5,richardson_lucy,0.00023927743026066502,1.0821996303275228,100.0,166582
water__lake_constance__r1c1,water,lake_constance,47.599999999999994,9.4,12.5,psf_aware_matched,0.0019740470997555,1.798419193830341,0.001,169746
water__lake_constance__r1c1,water,lake_constance,47.599999999999994,9.4,12.5,tikhonov_bicubic,0.0032605692517144852,0.8519825171679258,0.01,166974
water__lake_constance__r1c1,water,lake_constance,47.599999999999994,9.4,12.5,richardson_lucy,0.00218888287854056,1.0679650488309562,100.0,166974
water__lake_geneva__r1c1,water,lake_geneva,46.459,6.43,12.5,psf_aware_matched,0.0102926526737008,1.80258080502972,0.001,169623
water__lake_geneva__r1c1,water,lake_geneva,46.459,6.43,12.5,tikhonov_bicubic,0.01151278037514644,0.8664083201438189,0.01,166851
water__lake_geneva__r1c1,water,lake_geneva,46.459,6.43,12.5,richardson_lucy,0.01127609463181402,1.089610205963254,100.0,166851
water__lake_michigan__r1c1,water,lake_michigan,43.0,-87.85,12.5,psf_aware_matched,0.0050279656759987,3.048059242311865,0.001,169889
water__lake_michigan__r1c1,water,lake_michigan,43.0,-87.85,12.5,tikhonov_bicubic,0.0055410290312939365,0.8676752699539065,0.01,167121
water__lake_michigan__r1c1,water,lake_michigan,43.0,-87.85,12.5,richardson_lucy,0.005360014431867013,1.0865280381403863,100.0,167121
water__lake_tahoe__r1c1,water,lake_tahoe,39.1,-119.99999999999999,12.5,psf_aware_matched,0.0006302242216925,2.9641679329797626,0.001,169786
water__lake_tahoe__r1c1,water,lake_tahoe,39.1,-119.99999999999999,12.5,tikhonov_bicubic,0.0007426899009950354,0.8544847457669675,0.01,167033
water__lake_tahoe__r1c1,water,lake_tahoe,39.1,-119.99999999999999,12.5,richardson_lucy,0.0006897603115166327,1.081797728780657,100.0,167033
water__lake_taupo__r1c1,water,lake_taupo,-38.78,176.06,12.5,psf_aware_matched,0.0138232502743317,1.987655969336629,0.001,170052
water__lake_taupo__r1c1,water,lake_taupo,-38.78,176.06,12.5,tikhonov_bicubic,0.014534632090047968,0.8581523629836738,0.01,167301
water__lake_taupo__r1c1,water,lake_taupo,-38.78,176.06,12.5,richardson_lucy,0.014403839349349091,1.0865420252084732,100.0,167301
water__lake_titicaca__r1c1,water,lake_titicaca,-15.8,-69.4,12.5,psf_aware_matched,0.0059048200380001,2.8148284046910703,0.001,170777
water__lake_titicaca__r1c1,water,lake_titicaca,-15.8,-69.4,12.5,tikhonov_bicubic,0.00623113078403991,0.8624050389043987,0.01,168048
water__lake_titicaca__r1c1,water,lake_titicaca,-15.8,-69.4,12.5,richardson_lucy,0.006173633083173259,1.0796162271872163,100.0,168048
water__lake_victoria__r1c1,water,lake_victoria,-0.9999999999999957,33.0,12.5,psf_aware_matched,0.0002069117604417,2.014152924530208,0.001,171034
water__lake_victoria__r1c1,water,lake_victoria,-0.9999999999999957,33.0,12.5,tikhonov_bicubic,0.0005307381273549523,0.8576565640978515,0.01,168428
water__lake_victoria__r1c1,water,lake_victoria,-0.9999999999999957,33.0,12.5,richardson_lucy,0.00024248399867877858,1.0796198640018702,100.0,168428
