patch_id,scene_class,region_id,patch_execution_status,metric_cache_read_s,esri_patch_cache_status,esri_patch_load_s,synthetic_build_s,spectral_analysis_s,checkpoint_write_s,patch_wall_s,peak_gpu_memory_mib,operator_nnz_total,healpix_cells_max,rss_start_mib,rss_end_mib,cleanup_s,peak_rss_mib,rss_after_cleanup_mib,run_sequence,benchmark_included
water__lake_baikal__r2c2,water,lake_baikal,computed,0.0,zarr_hit,0.025453999638557434,1.0749659012071788,0.0091022290289402,0.016514860093593597,8.111708650831133,1021.35205078125,5177344.0,172634,18880.8046875,18880.80859375,0.20426024589687586,18880.80859375,18880.8046875,180,True
forest__amazon__r0c0,forest,amazon,computed,0.0,zarr_hit,0.02018929924815893,1.0665032318793237,0.008418343961238861,0.18839929485693574,12.180646320804954,1021.4228515625,5177344.0,173808,18880.80859375,18881.38671875,0.17295495187863708,18881.38671875,18881.3828125,181,True
forest__amazon__r0c1,forest,amazon,computed,0.0,zarr_hit,0.028535437304526567,1.124665493145585,0.00841700192540884,0.012493433430790901,11.64459675643593,1021.423828125,5177344.0,173838,18881.38671875,18881.48828125,0.17234763223677874,18881.48828125,18881.484375,182,True
forest__amazon__r0c2,forest,amazon,computed,0.0,zarr_hit,0.025485640857368708,1.0645548216998577,0.008350416086614132,0.024376208893954754,11.447348820976913,1021.42333984375,5177344.0,173812,18881.48828125,18881.5859375,0.19373792596161366,18881.5859375,18881.58203125,183,True
forest__amazon__r1c0,forest,amazon,computed,0.0,zarr_hit,0.02546087373048067,1.0623350269161165,0.008537450805306435,0.015426007099449635,11.650530886370689,1021.42333984375,5177344.0,173774,18881.5859375,18881.70703125,0.19283223105594516,18881.70703125,18881.703125,184,True
forest__amazon__r1c1,forest,amazon,computed,0.0,zarr_hit,0.02957202075049281,1.067531039007008,0.00846257759258151,0.013913401868194342,12.024645930621773,1021.4228515625,5177344.0,173820,18881.70703125,18880.8203125,0.17299591982737184,18881.70703125,18880.81640625,185,True
forest__amazon__r1c2,forest,amazon,computed,0.0,zarr_hit,0.02981182374060154,1.0922184670343995,0.00832012901082635,0.014894761145114899,11.531294437125325,1021.42431640625,5177344.0,173836,18880.8203125,18881.8125,0.17212118301540613,18881.8125,18881.80859375,186,True
forest__amazon__r2c0,forest,amazon,computed,0.0,zarr_hit,0.02352374466136098,1.0619472316466272,0.00858270563185215,0.03229278279468417,11.64896302530542,1021.42333984375,5177344.0,173826,18881.8125,18881.8125,0.212726972065866,18881.8125,18881.80859375,187,True
forest__amazon__r2c1,forest,amazon,computed,0.0,zarr_hit,0.02755113271996379,1.068291048053652,0.008462799247354269,0.012110458221286535,11.639936898835003,1021.42333984375,5177344.0,173784,18881.8125,18881.8125,0.17643069475889206,18881.8125,18881.80859375,188,True
forest__amazon__r2c2,forest,amazon,computed,0.0,zarr_hit,0.02513378392904997,1.062196685001254,0.008438654243946075,0.013693195767700672,11.848366422113031,1021.423828125,5177344.0,173847,18881.8125,18881.8125,0.17549138702452183,18881.8125,18881.80859375,189,True
