patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,true_fwhm_m,lambda,max_iter,healpix_level,device,rmse_psf_degradation,method,operator_fwhm_m,rmse_vs_latent,recovery_fraction,n_cells_compared,n_cells_estimated,npt,operator_rows,operator_cols,operator_nnz,operator_density,operator_build_s,solve_s,projection_s,runtime_s,method_total_s,patch_execution_status,run_sequence,benchmark_included
urban__singapore__r1c0,urban,singapore,Singapore,1.2903,103.8519,1.2902834163465642,103.81595145072481,00-15,32648,-4000.0,0.0,12.5,0.001,14,20,cuda:0,0.06414455887330683,nearest,,0.07808746167833944,-0.2173668827089683,169595,170766,,,,,,0.0,0.1240130066871643,0.0,0.1240130066871643,0.1240130066871643,computed,4,True
urban__singapore__r1c0,urban,singapore,Singapore,1.2903,103.8519,1.2902834163465642,103.81595145072481,00-15,32648,-4000.0,0.0,12.5,0.001,14,20,cuda:0,0.06414455887330683,bilinear,,0.08119140477304819,-0.26575669392958035,169595,170766,,,,,,0.0,0.11151469498872757,0.0,0.11151469498872757,0.11151469498872757,computed,4,True
urban__singapore__r1c0,urban,singapore,Singapore,1.2903,103.8519,1.2902834163465642,103.81595145072481,00-15,32648,-4000.0,0.0,12.5,0.001,14,20,cuda:0,0.06414455887330683,bicubic,,0.07339092524820534,-0.14414888086082533,169595,170766,,,,,,0.0,0.7615961921401322,0.0,0.7615961921401322,0.7615961921401322,computed,4,True
urban__singapore__r1c1,urban,singapore,Singapore,1.2903,103.8519,1.2902999999999998,103.8519,00-15,32648,0.0,0.0,12.5,0.001,14,20,cuda:0,0.05805768687108502,blurred_observation,12.5,0.05805768687108502,0.0,170968,170968,,,,,,0.0,0.0,0.0,0.0,0.0,computed,5,True
urban__singapore__r1c1,urban,singapore,Singapore,1.2903,103.8519,1.2902999999999998,103.8519,00-15,32648,0.0,0.0,12.5,0.001,14,20,cuda:0,0.05805768687108502,psf_aware_matched,12.5,0.04524478738987625,0.22069255893124617,170968,172206,22.0,65536.0,172206.0,1441792.0,0.00012775396908353947,0.294738900847733,0.04037788789719343,1.7497135256417096,0.33511678874492645,2.084830314386636,computed,5,True
urban__singapore__r1c1,urban,singapore,Singapore,1.2903,103.8519,1.2902999999999998,103.8519,00-15,32648,0.0,0.0,12.5,0.001,14,20,cuda:0,0.05805768687108502,psf_aware_plus50,18.75,0.08883545765126437,-0.5301239584091642,170968,174240,48.0,65536.0,174240.0,3145728.0,0.0002754820936639118,0.4332392681390047,0.08093785028904676,1.7692870111204684,0.5141771184280515,2.28346412954852,computed,5,True
urban__singapore__r1c1,urban,singapore,Singapore,1.2903,103.8519,1.2902999999999998,103.8519,00-15,32648,0.0,0.0,12.5,0.001,14,20,cuda:0,0.05805768687108502,psf_aware_minus50,6.25,0.06730055484625357,-0.15920145071731828,170252,170252,9.0,65536.0,170252.0,589824.0,5.2862815121114584e-05,0.17501228209584951,0.022207872942090034,1.89683982077986,0.19722015503793955,2.0940599758177996,computed,5,True
urban__singapore__r1c1,urban,singapore,Singapore,1.2903,103.8519,1.2902999999999998,103.8519,00-15,32648,0.0,0.0,12.5,0.001,14,20,cuda:0,0.05805768687108502,nearest,,0.07056462246270771,-0.2154225610020235,170139,170968,,,,,,0.0,0.12353595299646258,0.0,0.12353595299646258,0.12353595299646258,computed,5,True
urban__singapore__r1c1,urban,singapore,Singapore,1.2903,103.8519,1.2902999999999998,103.8519,00-15,32648,0.0,0.0,12.5,0.001,14,20,cuda:0,0.05805768687108502,bilinear,,0.07334086097305079,-0.2632411817560265,170139,170968,,,,,,0.0,0.10998862376436591,0.0,0.10998862376436591,0.10998862376436591,computed,5,True
urban__singapore__r1c1,urban,singapore,Singapore,1.2903,103.8519,1.2902999999999998,103.8519,00-15,32648,0.0,0.0,12.5,0.001,14,20,cuda:0,0.05805768687108502,bicubic,,0.0659892653524301,-0.13661547520756145,170139,170968,,,,,,0.0,0.7657880410552025,0.0,0.7657880410552025,0.7657880410552025,computed,5,True
urban__singapore__r1c2,urban,singapore,Singapore,1.2903,103.8519,1.290316072667127,103.88784900457223,00-15,32648,4000.0,0.0,12.5,0.001,14,20,cuda:0,0.04732773945125771,blurred_observation,12.5,0.04732773945125771,0.0,170789,170789,,,,,,0.0,0.0,0.0,0.0,0.0,computed,6,True
urban__singapore__r1c2,urban,singapore,Singapore,1.2903,103.8519,1.290316072667127,103.88784900457223,00-15,32648,4000.0,0.0,12.5,0.001,14,20,cuda:0,0.04732773945125771,psf_aware_matched,12.5,0.039605972436572705,0.1631552046266137,170789,172206,22.0,65536.0,172206.0,1441792.0,0.00012775396908353947,0.2937896931543946,0.040467376820743084,1.8357836278155446,0.3342570699751377,2.1700406977906823,computed,6,True
urban__singapore__r1c2,urban,singapore,Singapore,1.2903,103.8519,1.290316072667127,103.88784900457223,00-15,32648,4000.0,0.0,12.5,0.001,14,20,cuda:0,0.04732773945125771,psf_aware_plus50,18.75,0.07015582800772074,-0.48234056435282335,170789,174133,48.0,65536.0,174133.0,3145728.0,0.0002756513699298812,0.5097179720178246,0.08177732117474079,1.7911551599390805,0.5914952931925654,2.382650453131646,computed,6,True
urban__singapore__r1c2,urban,singapore,Singapore,1.2903,103.8519,1.290316072667127,103.88784900457223,00-15,32648,4000.0,0.0,12.5,0.001,14,20,cuda:0,0.04732773945125771,psf_aware_minus50,6.25,0.053979786703306186,-0.14055282016795534,170363,170363,9.0,65536.0,170363.0,589824.0,5.2828372357847657e-05,0.1745683611370623,0.022429111879318953,1.696607381105423,0.19699747301638126,1.8936048541218042,computed,6,True
urban__singapore__r1c2,urban,singapore,Singapore,1.2903,103.8519,1.290316072667127,103.88784900457223,00-15,32648,4000.0,0.0,12.5,0.001,14,20,cuda:0,0.04732773945125771,nearest,,0.05618972244003731,-0.1872471216992404,169975,170789,,,,,,0.0,0.13994647562503815,0.0,0.13994647562503815,0.13994647562503815,computed,6,True
urban__singapore__r1c2,urban,singapore,Singapore,1.2903,103.8519,1.290316072667127,103.88784900457223,00-15,32648,4000.0,0.0,12.5,0.001,14,20,cuda:0,0.04732773945125771,bilinear,,0.05815870577737942,-0.228850277906816,169975,170789,,,,,,0.0,0.10989161022007465,0.0,0.10989161022007465,0.10989161022007465,computed,6,True
