scene,psf_config,assumed_fwhm_m,snr,noise_std,lam,noise_model,rmse_vs_no_psf,rmse_std,noise_penalty,noise_penalty_std,regularization_noise_gain,regularization_noise_gain_std,regularization_noise_gain_pct,regularization_noise_gain_pct_std,n_realizations,n_cells
forest,matched,12.5,10.0,0.011270532394166125,1.0,correlated,0.03545286113996837,1.3560250137735922e-05,0.0018306932882944237,1.3560250137734177e-05,0.000998947908973666,1.275095742154121e-05,3.7044810666693735,0.04700728567818481,10,169683
forest,matched,12.5,10.0,0.011270532394166125,1.0,white,0.03465542421016028,3.110058646868844e-05,0.0010332563584863285,3.11005864686895e-05,0.01658122688041183,9.73360198906202e-05,39.71451626143078,0.13833808439957632,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.0,correlated,0.024875561236214695,4.673722862158038e-06,0.0007392912689580009,4.673722862158208e-06,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.0,white,0.029530304939610525,3.6493817698702854e-05,0.00539403497235383,3.6493817698702726e-05,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.001,correlated,0.024899237643905142,4.566402261045935e-06,0.000738348216555115,4.566402261045981e-06,9.430524028859744e-07,1.8743982700057135e-07,0.0037910053700160274,0.0007529688809852732,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.001,white,0.02935753990815711,3.420802223298996e-05,0.005196650480807083,3.4208022232990244e-05,0.0001973844915467475,2.6381643789546783e-06,0.6684055439292244,0.008215916996859326,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.01,correlated,0.025161417436193267,4.187435394396822e-06,0.0007283647204487352,4.187435394396351e-06,1.0926548509265777e-05,1.0148061667766188e-06,0.043924445339458586,0.004074234895882153,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.01,white,0.02839145607138316,2.349678954693582e-05,0.003958403355638624,2.349678954693602e-05,0.0014356316167152068,1.5788068472402748e-05,4.861507254076441,0.04815775101628076,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.1,correlated,0.027672681409307877,4.5696505079957836e-06,0.0006437186095410687,4.569650507995814e-06,9.557265941693219e-05,2.1357538645101462e-06,0.3842026383055995,0.008566024745806512,10,169683
forest,matched,12.5,20.0,0.005635266197083062,0.1,white,0.02834483303956294,1.3935680103326662e-05,0.0013158702397961315,1.3935680103326598e-05,0.004078164732557699,3.128062443703954e-05,13.810010123319127,0.0903297570288995,10,169683
forest,matched,12.5,20.0,0.005635266197083062,1.0,correlated,0.034088477098745004,8.943137986682075e-06,0.0004663092470710582,8.943137986681579e-06,0.0002729820218869427,6.662547815836016e-06,1.0973914382212997,0.026831008071230004,10,169683
forest,matched,12.5,20.0,0.005635266197083062,1.0,white,0.033883893686819266,1.057756618423269e-05,0.0002617258351453211,1.057756618423387e-05,0.005132309137208509,3.6266258982477704e-05,17.37969716988227,0.10240463374400664,10,169683
forest,matched,12.5,50.0,0.002254106478833225,0.0,correlated,0.0242561868712274,1.8503886764362674e-06,0.00011991690397070363,1.850388676436695e-06,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,50.0,0.002254106478833225,0.0,white,0.025062314271541375,1.2096552677852162e-05,0.0009260443042846813,1.2096552677852411e-05,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,50.0,0.002254106478833225,0.001,correlated,0.02428064833388754,1.7428644571343286e-06,0.00011975890653751383,1.7428644571355052e-06,1.5799743318979654e-07,1.2089206446237497e-07,0.0006513389620654063,0.0004983002260832511,10,169683
forest,matched,12.5,50.0,0.002254106478833225,0.001,white,0.02505134364871022,1.1719387113771634e-05,0.0008904542213601967,1.1719387113771717e-05,3.559008292448457e-05,7.195504403725722e-07,0.14200571993549901,0.00283469983362175,10,169683
forest,matched,12.5,50.0,0.002254106478833225,0.01,correlated,0.024551160764850144,1.2640860931916371e-06,0.00011810804910560961,1.2640860931907755e-06,1.808854865094009e-06,6.989437848846553e-07,0.007457115781470516,0.002880699349061072,10,169683
forest,matched,12.5,50.0,0.002254106478833225,0.01,white,0.02510234558065248,1.0236578977977713e-05,0.0006692928649079444,1.0236578977977744e-05,0.0002567514393767369,4.29651631800497e-06,1.0244481541858907,0.01686601339237578,10,169683
forest,matched,12.5,50.0,0.002254106478833225,0.1,correlated,0.02713332542659343,1.087045433534064e-06,0.00010436262682662241,1.087045433533972e-06,1.555427714408121e-05,1.5947355678763845e-06,0.06412462328693924,0.006569969369788076,10,169683
forest,matched,12.5,50.0,0.002254106478833225,0.1,white,0.027244173821804902,7.243960061885217e-06,0.00021521102203809483,7.243960061884968e-06,0.0007108332822465865,8.683073203995549e-06,2.8362520109345364,0.03355820905434175,10,169683
forest,matched,12.5,50.0,0.002254106478833225,1.0,correlated,0.03369799677441771,2.682765748129406e-06,7.582892274375988e-05,2.6827657481284392e-06,4.408798122694374e-05,3.2136896134715815e-06,0.18175923572875305,0.013240569223253566,10,169683
forest,matched,12.5,50.0,0.002254106478833225,1.0,white,0.033664700068829656,3.2230003591771006e-06,4.2532217155706596e-05,3.223000359175916e-06,0.0008835120871289748,1.1239228888636875e-05,3.5252433370871,0.04320416359280352,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,0.0,correlated,0.024166238905824994,8.642114468454515e-07,2.9968938568300867e-05,8.642114468456822e-07,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,0.0,white,0.024370069813092487,6.164706263207726e-06,0.00023379984583579393,6.164706263207957e-06,0.0,0.0,0.0,0.0,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,0.001,correlated,0.024190821322566718,8.277817462261742e-07,2.993189521669215e-05,8.277817462261697e-07,3.704335160871486e-08,5.720087284352175e-08,0.00015328054593487348,0.0002366946712471544,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,0.001,white,0.02438566956925005,5.960250792761684e-06,0.0002247801419000193,5.960250792762066e-06,9.019703935774642e-06,2.971193097965081e-07,0.037011207234318014,0.0012128155910896073,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,0.01,correlated,0.024462592451958295,7.025953610268526e-07,2.9539736213762825e-05,7.025953610265167e-07,4.2920235453804133e-07,3.013794057076345e-07,0.0017760146707793227,0.0012470730069085733,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,0.01,white,0.024601687924359013,4.8222167268316645e-06,0.0001686352086144812,4.822216726831941e-06,6.516463722131272e-05,2.130119210739652e-06,0.26739473982423034,0.00869225855899037,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,0.1,correlated,0.02705513295292441,7.513081351188138e-07,2.617015315760328e-05,7.513081351191734e-07,3.798785410697586e-06,4.275755168960742e-07,0.01571936216028024,0.0017690381200652708,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,0.1,white,0.027082486683944224,3.7439905581567713e-06,5.3523884177417855e-05,3.7439905581569293e-06,0.00018027596165837606,6.363877682216966e-06,0.7397384683419097,0.0259621025474062,10,169683
forest,matched,12.5,100.0,0.0011270532394166124,1.0,correlated,0.03364138101012663,1.404650210586463e-06,1.9213158452677236e-05,1.4046502105866678e-06,1.0755780115623628e-05,7.923404180453445e-07,0.04450751030014045,0.0032794072241310425,10,169683
