zoom,tile_x,tile_y,sha256,path
17,128134,83181,0efebea2472a751a0383a0b82a8955e7b805ccb6cca5369c3385e863ac5b40f2,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83181.jpg
17,128134,83182,c7fc942c5dd346a2381562242d00571157e9a01b71ba44b1e47505117592eb20,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83182.jpg
17,128134,83183,4036040c52101be5e4211d7675bae51a2253726f7f4cb84e42fd26d6a0b7c18f,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83183.jpg
17,128134,83184,005fe5674b2f356bfd55b5d1cdbc6f8f1047244f9af6b194e50d7261d597ed45,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83184.jpg
17,128135,83135,8e00feef670c5ccc5848605735c2ad8a94f6c50b8b77391d7744a748c2a315ce,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83135.jpg
17,128135,83136,03c389756440a485df63a22b0b14e8a5f31d08e5bb3a3a2ba10eda916d4a492a,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83136.jpg
17,128135,83137,1439cf47aeb54b5405cf63cc7e943c7ce8ae9671542e4f568ed3ff265c8d1750,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83137.jpg
17,128135,83138,8f10298198e39ce1b7422763187b6a29d64904ee50a0967a4dd6eed736335308,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83138.jpg
17,128135,83139,8bf5712c513b1ddbc0aee88fb508da2ed083db158388bcc991f942c276dc4222,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83139.jpg
17,128135,83140,ae42ee5c58e0050557298c66f263c404788ae984748ab1521fcf4144cd4d9bbb,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83140.jpg
17,128135,83141,7cb89bcda3d8f5c7dce94fa61e0713ee20345ff9ef07526342f6d2f012b3da54,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83141.jpg
17,128135,83142,a27e1558c95cb50772d5db953e0a449eef0cc9633c34c33217e252a8270128f6,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83142.jpg
17,128135,83143,dcdac8baa66615c6173cbebb8fed0385624035cdab7e4edac16ec29de59439da,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83143.jpg
17,128135,83144,0f3981c8682780743248c4b67235c2ba9b48eaba6e432654234404bcd639786b,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83144.jpg
17,128135,83145,6a2795e31cdb09ceab0d6c03efd052383b01f782ceb82044158f85c0afd35de0,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83145.jpg
17,128135,83146,d30a02eb1a943064659cedbe218da25e4bd878d69fae3ca419a0a88c903457b3,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83146.jpg
17,128135,83147,04dce9786d339bd1cacfa178cf58193bd6be0ba3ac768896376a3efdc378298f,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83147.jpg
17,128135,83148,8d644295347f33f7477dc130b23372fd83e8d70dd8011238dcf390860af211c6,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83148.jpg
17,128135,83149,253fbe0de22e54fa2491311c9802c5f34c28ee2395c520b49793db4660cfe576,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83149.jpg
17,128135,83150,3a79ff6bea18c80f38b81d95eefb03109c9ac12d69baa1d237ea70bbdadab3c8,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83150.jpg
17,128135,83151,7f5127081cc26b37ac2eeffa2da350b37b65aaf2417131104964097a95bb59d8,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83151.jpg
17,128135,83152,b2cf493f62da3c46f94459f1e140246613b46aca60675439c1c1f771aec7a979,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83152.jpg
17,128135,83153,eeb2a2b2ffa8b1ee2e26fab8e7157d8124c35d9dc7a854f0f480bbb50a8110bf,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83153.jpg
17,128135,83154,265f7babf6dc4ad3b5344941ba86f9a35a42666530e796900669d1e0b229c675,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83154.jpg
17,128135,83155,ee31eaa623e28167bf69ab38725ff530ea9be320b9faad15c37bc3818299abbf,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83155.jpg
17,128135,83156,b027801dd96a675aa6c7c2c730dc05603928905d1c99789bcd79b5507087fac7,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83156.jpg
17,128135,83157,7fd128cc48fce27944d4c5ee03abf92a4108e4a103fb604dda961d119719782f,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83157.jpg
17,128135,83158,3d46f443ddff1dc492b8705779ef846c53660a349f5eae93b16bd211db48a62c,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128135/y83158.jpg
