scene,method,n_cells,rmse,mae,bias,corr,psnr,scene_class,region_id
region__agriculture__mato_grosso,classical_linear,29022,0.005321907684500346,0.0026895918129712197,-2.2990890804850974e-05,0.9822077914850629,39.42324050190954,agriculture,mato_grosso
region__agriculture__mato_grosso,classical_cubic,29022,0.004544487279195658,0.002392295458541527,-1.7320497207799e-05,0.9868893977768743,40.794889397414664,agriculture,mato_grosso
region__agriculture__mato_grosso,richardson_lucy,29022,0.0059241147834697945,0.002040008779343809,-0.00015700627797378283,0.9767023244391669,38.49211794610774,agriculture,mato_grosso
region__agriculture__nile_delta,psf_aware,28990,0.022483171886771267,0.016727868235236656,4.1246926138918334e-05,0.9190375798815349,27.921954366116452,agriculture,nile_delta
region__agriculture__nile_delta,classical_nearest,28990,0.03041150418774855,0.023092626726300438,7.701593998301724e-05,0.8550614816211296,25.298347953166033,agriculture,nile_delta
region__agriculture__nile_delta,classical_linear,28990,0.031389844737588934,0.023953974461578098,6.0634144105430967e-05,0.8484976075033408,25.023322629283413,agriculture,nile_delta
region__agriculture__nile_delta,classical_cubic,28990,0.02873352809261011,0.02187349776865573,5.750699253401373e-05,0.8740365983040749,25.791326884405194,agriculture,nile_delta
region__agriculture__nile_delta,richardson_lucy,28990,0.02438727633358164,0.01829288019218828,-7.654080265717245e-05,0.9062176892270231,27.215839994391118,agriculture,nile_delta
region__agriculture__pampas,psf_aware,28939,0.015687995537530797,0.007709067066898851,-4.518892247997168e-06,0.9560819738219878,36.13370015024425,agriculture,pampas
region__agriculture__pampas,classical_nearest,28939,0.022174188835876216,0.011200307492854042,1.3680629152344406e-06,0.913420786490512,33.128094459334264,agriculture,pampas
region__agriculture__pampas,classical_linear,28939,0.022965514831102235,0.01164560081952983,2.9325062611984675e-06,0.9079670251310457,32.82352557890208,agriculture,pampas
region__agriculture__pampas,classical_cubic,28939,0.020670790295602443,0.010254436258294601,4.936821169554188e-06,0.9260716849583163,33.737907670720546,agriculture,pampas
region__agriculture__pampas,richardson_lucy,28939,0.01804744757373568,0.008159354579499284,-0.00014283908867937617,0.9422897481078198,34.91673351473655,agriculture,pampas
region__agriculture__po_valley,psf_aware,29903,0.00517409436939222,0.002642637125221999,-1.6961273310973055e-05,0.9807979347064676,35.617533392214014,agriculture,po_valley
region__agriculture__po_valley,classical_nearest,29903,0.007375513938613026,0.0037968396607989357,-2.2748082162865236e-05,0.9616627635254541,32.538374539715775,agriculture,po_valley
region__agriculture__po_valley,classical_linear,29903,0.007629295349940557,0.003982110778129257,-2.0159124098218604e-05,0.9594224622305552,32.24453174379424,agriculture,po_valley
region__agriculture__po_valley,classical_cubic,29903,0.0068188734841891285,0.0034834746361629434,-1.9400883976156943e-05,0.9675012387150503,33.219967647286,agriculture,po_valley
region__agriculture__po_valley,richardson_lucy,29903,0.00620132283767733,0.002828120539920452,-0.0001236220444699448,0.9726707521887685,34.044533480017655,agriculture,po_valley
region__agriculture__punjab,psf_aware,28976,0.006862507229083225,0.003913150738737937,-3.7962103871683155e-06,0.9850191745736437,33.71922870166378,agriculture,punjab
region__agriculture__punjab,classical_nearest,28976,0.010903164307715972,0.006231024667090587,2.3204261815167186e-05,0.9634443737925643,29.697833864003677,agriculture,punjab
region__agriculture__punjab,classical_linear,28976,0.011021645637071746,0.006464571408709009,2.02984688019309e-06,0.9637761104697721,29.603956127184578,agriculture,punjab
region__agriculture__punjab,classical_cubic,28976,0.00961403431343702,0.005493477530440487,-2.184684915069032e-06,0.9721303855804297,30.790771643992223,agriculture,punjab
region__agriculture__punjab,richardson_lucy,28976,0.00751009759348923,0.004189998336889858,-7.069515481101135e-05,0.9823268610443636,32.93597338700944,agriculture,punjab
region__agriculture__ukraine,psf_aware,29852,0.007849831438605634,0.003827508740500464,2.0385723080349786e-05,0.9633829027078998,37.22029012637633,agriculture,ukraine
region__agriculture__ukraine,classical_nearest,29852,0.010682314655301733,0.0052927190804926165,1.2002052230360871e-05,0.9336949928884923,34.54418942341269,agriculture,ukraine
region__agriculture__ukraine,classical_linear,29852,0.011005244122391069,0.005501389469223604,1.483415432536904e-05,0.930623537439217,34.28550313546529,agriculture,ukraine
region__agriculture__ukraine,classical_cubic,29852,0.00987950077768162,0.004905437142734829,1.542305696242004e-05,0.9441537707162719,35.22279675396229,agriculture,ukraine
region__agriculture__ukraine,richardson_lucy,29852,0.009511826415765097,0.0041544548466137254,-0.00017976785482596403,0.9474929766726763,35.552218426805155,agriculture,ukraine
region__agriculture__western_australia,psf_aware,28924,0.006232942570136217,0.004144044392112697,2.2855486701273746e-05,0.9890325924450648,33.300017199967456,agriculture,western_australia
region__agriculture__western_australia,classical_nearest,28924,0.009760769841870435,0.006263729977189411,-1.4556450217234022e-06,0.9735505431582874,29.404198261718804,agriculture,western_australia
region__agriculture__western_australia,classical_linear,28924,0.009954125173063688,0.006480427677601783,1.4931535052214699e-05,0.9728752361195473,29.233817753186287,agriculture,western_australia
region__agriculture__western_australia,classical_cubic,28924,0.008665814992548083,0.005696527173304692,2.1350096059221677e-05,0.9794118297265902,30.43769144712389,agriculture,western_australia
region__agriculture__western_australia,richardson_lucy,28924,0.006699239040394712,0.004438647469211139,1.9219595745142884e-05,0.9874123703112634,32.67337021817924,agriculture,western_australia
region__forest__amazon,psf_aware,28906,0.02248190502637793,0.015168901973386656,-8.66229652287242e-05,0.9488966876251834,30.798546105570807,forest,amazon
region__forest__amazon,classical_nearest,28906,0.031318417495076724,0.02120293445285521,-7.87461857946593e-05,0.9036570998357003,27.91921209723113,forest,amazon
region__forest__amazon,classical_linear,28906,0.03225664443591634,0.022025657425777164,-5.685851508995732e-05,0.8996300968746748,27.662824541676848,forest,amazon
region__forest__amazon,classical_cubic,28906,0.02908012112000318,0.019745603189178288,-6.0330301097659995e-05,0.9185214565142251,28.563284061180866,forest,amazon
region__forest__amazon,richardson_lucy,28906,0.024484837580401705,0.01615546352316295,-0.00026748123666556255,0.9403358379168408,30.057263732484696,forest,amazon
region__forest__appalachian,psf_aware,28887,0.0028132118844152224,0.002094482896958098,8.659391880397007e-06,0.9188701477950472,28.114211538344243,forest,appalachian
region__forest__appalachian,classical_nearest,28887,0.003689711632201946,0.002787762059797792,8.279686682391799e-06,0.8615505188991825,25.75841189899162,forest,appalachian
region__forest__appalachian,classical_linear,28887,0.0037885607226204026,0.002873147591365542,1.164726696417907e-05,0.8556902612564932,25.52877535751896,forest,appalachian
region__forest__appalachian,classical_cubic,28887,0.0034938325369054503,0.0026424698332367116,1.1075496546622087e-05,0.8782947022887263,26.232218707770958,forest,appalachian
region__forest__appalachian,richardson_lucy,28887,0.003021631488879629,0.002245373440197508,-7.546684022292721e-06,0.9074289234929114,27.493430452961736,forest,appalachian
region__forest__black_forest,psf_aware,29912,0.008785286637992155,0.00508926140257053,-2.247961242385577e-05,0.9757975703060604,40.77799310521993,forest,black_forest
region__forest__black_forest,classical_nearest,29912,0.012134814583553994,0.007228721616885969,-3.731015502176551e-05,0.9545031412265889,37.97244892493119,forest,black_forest
region__forest__black_forest,classical_linear,29912,0.01254105925689064,0.007538700456689051,-2.8707620560874807e-05,0.9519435237503203,37.686427423284385,forest,black_forest
region__forest__black_forest,classical_cubic,29912,0.011213429438752186,0.006653349591462317,-2.707331860114181e-05,0.9615624619194938,38.65834273001114,forest,black_forest
region__forest__black_forest,richardson_lucy,29912,0.01164750242940202,0.005437290082867729,-0.00022045236012262475,0.9573626286568592,38.328455627347836,forest,black_forest
region__forest__borneo,psf_aware,28874,0.004752612408489135,0.002580844855397633,1.3033754394271702e-05,0.9983553054197534,42.64715793104674,forest,borneo
region__forest__borneo,classical_nearest,28874,0.008566159507926788,0.0045157809886102645,-2.450496435697995e-05,0.9947651468628053,37.53008274223711,forest,borneo
region__forest__borneo,classical_linear,28874,0.008286489280278433,0.004522455373028437,2.0293100783030495e-05,0.9951841854432216,37.81839442486256,forest,borneo
region__forest__borneo,classical_cubic,28874,0.006890531077331435,0.0037918560076871358,2.136520306695434e-05,0.996633062557337,39.42075196649241,forest,borneo
region__forest__borneo,richardson_lucy,28874,0.006828273135738291,0.0029379215565998235,-0.00018942901052990276,0.9967292684336783,39.49958818482939,forest,borneo
region__forest__canadian_rockies,psf_aware,29650,0.002287398720106149,0.0013394733749700688,1.4481900957166446e-05,0.9839635552720895,33.867040974129154,forest,canadian_rockies
region__forest__canadian_rockies,classical_nearest,29650,0.0030793203352940317,0.0017765001726021102,1.4471787453627506e-05,0.971121212069757,31.28478104935372,forest,canadian_rockies
region__forest__canadian_rockies,classical_linear,29650,0.0031464874574575552,0.0018285358218008158,1.2795166591493315e-05,0.9700484007451339,31.097358351457874,forest,canadian_rockies
region__forest__canadian_rockies,classical_cubic,29650,0.0028553824489059815,0.0016630851506753423,1.3114353139298963e-05,0.975302689337293,31.940592734950968,forest,canadian_rockies
region__forest__canadian_rockies,richardson_lucy,29650,0.0026501704118291522,0.001427835994188063,-3.297135169487478e-05,0.9786676501117427,32.5884024308226,forest,canadian_rockies
region__forest__congo,psf_aware,29034,0.0010464859235223328,0.000804082976918871,5.8306105116177844e-08,0.810598269122299,27.9047999421301,forest,congo
region__forest__congo,classical_nearest,29034,0.0012680256430228163,0.0009810400591313679,8.80594395643556e-07,0.7205238039379058,26.236907035228533,forest,congo
region__forest__congo,classical_linear,29034,0.0013018696439186378,0.0010095626084235217,8.619003259110008e-07,0.7066407782094084,26.008117749991065,forest,congo
region__forest__congo,classical_cubic,29034,0.0012316670354239022,0.0009546164088857037,8.313298243879164e-07,0.743242253402461,26.489601400133665,forest,congo
region__forest__congo,richardson_lucy,29034,0.001101869255503919,0.0008487432822764737,-4.097986128521235e-07,0.7925859176595911,27.456866451002742,forest,congo
region__forest__finland_boreal,psf_aware,29907,0.003184069143080603,0.0017675974338851388,-3.036609703061629e-06,0.9922774375587053,35.838488486002944,forest,finland_boreal
region__forest__finland_boreal,classical_nearest,29907,0.004923430274917248,0.0026446306310169572,2.0123263623885686e-06,0.9819601824492651,32.052782448878375,forest,finland_boreal
region__forest__finland_boreal,classical_linear,29907,0.004995611386038122,0.0027535316679860506,-8.431411777619043e-07,0.9817724128874294,31.92636535057627,forest,finland_boreal
region__forest__finland_boreal,classical_cubic,29907,0.004359010974065756,0.0023895784383615717,-1.872252871836982e-06,0.9859927991620796,33.11037903861948,forest,finland_boreal
region__forest__finland_boreal,richardson_lucy,29907,0.0036799213007743647,0.001907423041786706,-7.371657563826044e-05,0.9898930552012062,34.581367668228246,forest,finland_boreal
region__forest__new_zealand,psf_aware,28687,0.0033856471364160988,0.0019529194089818133,2.7110273134078987e-06,0.9841102162627602,35.274417466845016,forest,new_zealand
region__forest__new_zealand,classical_nearest,28687,0.005010285793390236,0.0028322658452130437,-8.95369779567821e-06,0.9656750724706169,31.870001330493096,forest,new_zealand
region__forest__new_zealand,classical_linear,28687,0.005121507460992812,0.002938821259423705,-1.0401551003810908e-05,0.9645061730794763,31.679295122067664,forest,new_zealand
region__forest__new_zealand,classical_cubic,28687,0.004517825704079427,0.0025924819303182593,-7.43308932893226e-06,0.9723787468743956,32.76866187672994,forest,new_zealand
region__forest__new_zealand,richardson_lucy,28687,0.003984951316439778,0.002079399555484233,-4.825010698468852e-05,0.9781686336230906,33.85879091564647,forest,new_zealand
region__forest__patagonia,psf_aware,29871,0.027438880171976314,0.011723534570665817,3.925140741000328e-05,0.9900779451786644,35.13460624810753,forest,patagonia
region__forest__patagonia,classical_nearest,29871,0.04332297614348768,0.01890672196630961,4.205628004906761e-05,0.9758245174953656,31.167568238784366,forest,patagonia
region__forest__patagonia,classical_linear,29871,0.044137306649058274,0.019812474953290533,4.6993453025424156e-05,0.9753113307644131,31.005817348401692,forest,patagonia
region__forest__patagonia,classical_cubic,29871,0.037969140701311146,0.0166995312580361,5.04806136470203e-05,0.9816523283116189,32.313318539608105,forest,patagonia
region__forest__patagonia,richardson_lucy,29871,0.03356765414554638,0.012793829957647121,-0.0006801743824253248,0.9854487340718768,33.383514071677936,forest,patagonia
region__forest__tasmania,psf_aware,29322,0.002035273997280286,0.0014057737452382484,-2.0463795108120615e-06,0.949779483878746,31.397978132809783,forest,tasmania
