scene_class,abs_latitude_band,method,n_regions,n_patches,rmse_mean,rmse_sd,recovery_mean,recovery_sd
water,15-30,bicubic,1,9,0.018001544677879754,,-0.05958436493144497,
water,15-30,bilinear,1,9,0.01831935484502277,,-0.08618645265744337,
water,15-30,blurred_observation,1,9,0.016968949237867983,,0.0,
water,15-30,nearest,1,9,0.018064858623830914,,-0.06624902579827162,
water,15-30,psf_aware_matched,1,9,0.01619751564273543,,0.05169768758695909,
water,15-30,psf_aware_minus50,1,9,0.017864797689936197,,-0.056715713895014334,
water,15-30,psf_aware_plus50,1,9,0.019361673729725606,,-0.1975666246387985,
water,30-45,bicubic,5,45,0.009513256490353571,0.0061667446191894446,-0.10273760163018986,0.0092149116367102
water,30-45,bilinear,5,45,0.010117998211716247,0.006689372520294992,-0.16343337175523076,0.02385797530115375
water,30-45,blurred_observation,5,45,0.008586176851256469,0.00552911464466497,0.0,0.0
water,30-45,nearest,5,45,0.009828684379517212,0.006476004547504132,-0.13197557465225457,0.02006328108007644
water,30-45,psf_aware_matched,5,45,0.007675252823216091,0.004645329086577239,0.0889447486446868,0.04963729479796807
water,30-45,psf_aware_minus50,5,45,0.009538351977760746,0.006233136982885457,-0.10366360635398146,0.01202303009129033
water,30-45,psf_aware_plus50,5,45,0.012279056621039003,0.00812779537581101,-0.40502698162098705,0.0437345782350355
water,45-60,bicubic,3,27,0.004904594005889571,0.005271211558662834,-0.13930948129506915,0.022310874793211196
water,45-60,bilinear,3,27,0.005318513934541914,0.005659147590685588,-0.2583711442987057,0.0532006234881036
water,45-60,blurred_observation,3,27,0.004380291665251797,0.004755882913541213,0.0,0.0
water,45-60,nearest,3,27,0.005138160935434938,0.005472927422297923,-0.21656978017629794,0.04975410434723805
water,45-60,psf_aware_matched,3,27,0.0037197106345930133,0.004114082657060495,0.17226847736356407,0.03778573486357465
water,45-60,psf_aware_minus50,3,27,0.004946244030079168,0.005283327316996064,-0.17032184451658225,0.04259224702043535
