patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,patch_row,patch_col
urban__tokyo__r2c2,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.71274355201317,139.69390190298608,30-45,32654,4000.0,4000.0,2,2
urban__montreal__r0c0,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.466536422456436,-73.61946497358554,45-60,32618,-4000.0,-4000.0,0,0
urban__montreal__r0c1,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.46590662060698,-73.56831217339206,45-60,32618,0.0,-4000.0,0,1
urban__montreal__r0c2,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.46525391958254,-73.51716109636185,45-60,32618,4000.0,-4000.0,0,2
urban__montreal__r1c0,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.502530588434226,-73.61858536552852,45-60,32618,-4000.0,0.0,1,0
urban__montreal__r1c1,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.501900000000006,-73.5674,45-60,32618,0.0,0.0,1,1
urban__montreal__r1c2,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.501246483809574,-73.51621636164262,45-60,32618,4000.0,0.0,1,2
urban__montreal__r2c0,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.538524513295016,-73.61770409191038,45-60,32618,-4000.0,4000.0,2,0
urban__montreal__r2c1,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.537893137281365,-73.56648609943463,45-60,32618,0.0,4000.0,2,1
urban__montreal__r2c2,urban,montreal,"Montreal, Canada",45.5019,-73.5674,45.53723880489418,-73.51526983815103,45-60,32618,4000.0,4000.0,2,2
urban__paris__r0c0,urban,paris,"Paris, France",48.8566,2.3522,48.82029996377494,2.2981754547839266,45-60,32631,-4000.0,-4000.0,0,0
urban__paris__r0c1,urban,paris,"Paris, France",48.8566,2.3522,48.820618822804924,2.35266382896826,45-60,32631,0.0,-4000.0,0,1
urban__paris__r0c2,urban,paris,"Paris, France",48.8566,2.3522,48.82091192858306,2.407153121052389,45-60,32631,4000.0,-4000.0,0,2
