scene,psf_config,assumed_fwhm_m,npt,snr,noise_std,lam,rmse_vs_no_psf,noise_model,realization,seed,n_cells,rmse_clean,noise_penalty,noise_penalty_lam0,rmse_noisy_lam0,regularization_noise_gain,regularization_noise_gain_pct
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06934686806423539,white,7,2241,169675,0.06926453552915494,8.233253508044269e-05,0.00011170095250866152,0.06842598929451446,2.936841742821883e-05,0.04291997489698438
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.0777668993363889,white,7,2241,169675,0.07773709273896316,2.98065974257411e-05,0.00011170095250866152,0.06842598929451446,8.189435508292042e-05,0.11968311445295492
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939771801499904,white,7,2241,169675,0.09939127549633432,6.442518664717678e-06,0.00011170095250866152,0.06842598929451446,0.00010525843384394384,0.1538281505743347
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06842599472995987,white,8,2242,169675,0.0683142883420058,0.00011170638795407473,0.00011170638795407473,0.06842599472995987,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06850249406468421,white,8,2242,169675,0.0683953330813333,0.00010716098335090962,0.00011170638795407473,0.06842599472995987,4.545404603165104e-06,0.006642803836616975
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.0693433255889687,white,8,2242,169675,0.06926453552915494,7.87900598137603e-05,0.00011170638795407473,0.06842599472995987,3.291632814031442e-05,0.048105004933018856
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07775871523307837,white,8,2242,169675,0.07773709273896316,2.1622494115206004e-05,0.00011170638795407473,0.06842599472995987,9.008389383886872e-05,0.1316515663299902
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939367643168312,white,8,2242,169675,0.09939127549633432,2.400935348798039e-06,0.00011170638795407473,0.06842599472995987,0.00010930545260527669,0.15974258472477568
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.0684212725347151,white,9,2243,169675,0.0683142883420058,0.00010698419270929738,0.00010698419270929738,0.0684212725347151,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06849854568713648,white,9,2243,169675,0.0683953330813333,0.00010321260580317682,0.00010698419270929738,0.0684212725347151,3.771586906120561e-06,0.0055123016079640435
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06934381340049768,white,9,2243,169675,0.06926453552915494,7.927787134273667e-05,0.00010698419270929738,0.0684212725347151,2.7706321366560704e-05,0.04049372415940272
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.077762602710397,white,9,2243,169675,0.07773709273896316,2.5509971433843037e-05,0.00010698419270929738,0.0684212725347151,8.147422127545434e-05,0.11907732530714996
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939524895108579,white,9,2243,169675,0.09939127549633432,3.973454751463046e-06,0.00010698419270929738,0.0684212725347151,0.00010301073795783433,0.15055367160201452
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06832893998210107,correlated,0,2334,169675,0.0683142883420058,1.4651640095272866e-05,1.4651640095272866e-05,0.06832893998210107,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06840994552414885,correlated,0,2334,169675,0.0683953330813333,1.4612442815545301e-05,1.4651640095272866e-05,0.06832893998210107,3.919727972756526e-08,5.736556097289535e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06927882908795101,correlated,0,2334,169675,0.06926453552915494,1.4293558796063532e-05,1.4651640095272866e-05,0.06832893998210107,3.5808129920933407e-07,0.0005240551065231428
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07774909730169048,correlated,0,2334,169675,0.07773709273896316,1.200456272731909e-05,1.4651640095272866e-05,0.06832893998210107,2.6470773679537762e-06,0.003874020830188767
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.0993987236031641,correlated,0,2334,169675,0.09939127549633432,7.44810682977437e-06,1.4651640095272866e-05,0.06832893998210107,7.203533265498496e-06,0.010542433802405656
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06832820136372719,correlated,1,2335,169675,0.0683142883420058,1.391302172139286e-05,1.391302172139286e-05,0.06832820136372719,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.0684092742466083,correlated,1,2335,169675,0.0683953330813333,1.3941165274991563e-05,1.391302172139286e-05,0.06832820136372719,-2.814355359870291e-08,-4.118878155285855e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06927851378799545,correlated,1,2335,169675,0.06926453552915494,1.3978258840502411e-05,1.391302172139286e-05,0.06832820136372719,-6.523711910955132e-08,-9.547612524187296e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07774975802949509,correlated,1,2335,169675,0.07773709273896316,1.2665290531926887e-05,1.391302172139286e-05,0.06832820136372719,1.2477311894659726e-06,0.0018260852247873527
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09940104954450009,correlated,1,2335,169675,0.09939127549633432,9.774048165767102e-06,1.391302172139286e-05,0.06832820136372719,4.138973555625758e-06,0.006057489401181544
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06832668333581166,correlated,2,2336,169675,0.0683142883420058,1.2394993805855958e-05,1.2394993805855958e-05,0.06832668333581166,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06840775077735688,correlated,2,2336,169675,0.0683953330813333,1.2417696023572788e-05,1.2394993805855958e-05,0.06832668333581166,-2.270221771683012e-08,-3.322599108938651e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06927696072314013,correlated,2,2336,169675,0.06926453552915494,1.242519398518549e-05,1.2394993805855958e-05,0.06832668333581166,-3.020017932953145e-08,-4.419968576713106e-05
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.0777479581628364,correlated,2,2336,169675,0.07773709273896316,1.0865423873240854e-05,1.2394993805855958e-05,0.06832668333581166,1.5295699326151047e-06,0.0022386128785112864
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939863513372792,correlated,2,2336,169675,0.09939127549633432,7.359637393594687e-06,1.2394993805855958e-05,0.06832668333581166,5.0353564122612715e-06,0.007369531442809138
