asset_id,category,source,source_identifier,relative_path,kind,required_by,expected_shape,status,bytes,sha256,archive_doi,notes
esri_multipatch_urban__sao_paulo__r0c0,primary_input,Esri World Imagery,zoom=17;lat=-23.586199295303587;lon=-46.672933198899024,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r0c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sao_paulo__r0c1,primary_input,Esri World Imagery,zoom=17;lat=-23.58661641824638;lon=-46.633746782506876,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r0c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sao_paulo__r0c2,primary_input,Esri World Imagery,zoom=17;lat=-23.58702366399111;lon=-46.594559475654854,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r0c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sao_paulo__r1c0,primary_input,Esri World Imagery,zoom=17;lat=-23.550083591293532;lon=-46.672475712076306,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r1c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sao_paulo__r1c1,primary_input,Esri World Imagery,zoom=17;lat=-23.5505;lon=-46.6333,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r1c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sao_paulo__r1c2,primary_input,Esri World Imagery,zoom=17;lat=-23.550906548416815;lon=-46.594123398542685,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r1c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sao_paulo__r2c0,primary_input,Esri World Imagery,zoom=17;lat=-23.513967711274553;lon=-46.672019135933624,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r2c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sao_paulo__r2c1,primary_input,Esri World Imagery,zoom=17;lat=-23.51438340612312;lon=-46.63285410687462,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r2c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__sao_paulo__r2c2,primary_input,Esri World Imagery,zoom=17;lat=-23.51478925758149;lon=-46.59368818951062,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__sao_paulo__r2c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__cape_town__r0c0,primary_input,Esri World Imagery,zoom=17;lat=-33.960025727460355;lon=18.379763738660497,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__cape_town__r0c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
